# Supplementary table 1 of Takahashi et al. PASJ
#
# ML classification results of 1824 HSC SNe
#
# column  1, Index:	Index
# column  2, Name:	SN Name
# column  3, Case:	Case (-1 if not available)
# column  4, z:		Redshift (NaN if not available)
# column  5, z_err1:	Redshift error 1
# column  6, z_err2:	Redshift error 2
# column  7, z_src:	Redshift source (1: spec-z, 2: COSMOS photo-z, 3: HSC photo-z ultra-deep, 4: HSC photo-z deep, 0: hostless)
# column  8, dof:	Degree of freedom in SALT2 fitting
# column  9, Label:	SN type labeled by SALT2 fitting (UC: unclassified)
# column 10, F_cover:	Flag indicating whether the photometric data covers the period of 10 days before and 20 days after the peak
# column 11, M2_Ia:	Ia probability in binary classification with pseudo-absolute magnitude (M) and normalized flux (f)
# column 12, M3_Ia:	Ia probability in 3-class classification with M and f
# column 13, M3_Ibc:	Ibc probability in 3-class classification with M and f
# column 14, M3_II:	II probability in 3-class classification with M and f
# column 15, M3_pred:	SN type in 3-class classification with M and f
# column 16, m2_Ia:	Ia probability in binary classification with magnitude (m) and normalized flux (f)
# column 17, m3_Ia:	Ia probability in 3-class classification with m and f
# column 18, m3_Ibc:	Ibc probability in 3-class classification with m and f
# column 19, m3_II:	II probability in 3-class classification with m and f
# column 20, m3_pred:	SN type in 3-class classification with m and f
#
#Index	Name		Case	z	z_err1	z_err2	z_src	dof	Label	F_cover	M2_Ia	M3_Ia	M3_Ibc	M3_II	M3_pred	m2_Ia	m3_Ia	m3_Ibc	m3_II	m3_pred
39	HSC16aajt	0	0.772	-0.001	0.000	1	18	nonIa	False	0.152	0.216	0.005	0.779	II	0.896	0.817	0.016	0.167	Ia
40	HSC16aaks	0	1.125	0.000	0.000	1	16	Ia	False	0.875	0.892	0.003	0.104	Ia	0.779	0.747	0.043	0.210	Ia
41	HSC16aalm	0	0.160	-0.056	0.071	4	7	nonIa	False	0.039	0.055	0.077	0.868	II	0.090	0.059	0.102	0.839	II
42	HSC16aaly	0	0.227	0.000	0.000	1	12	nonIa	True	0.188	0.251	0.122	0.627	II	0.697	0.663	0.003	0.334	Ia
43	HSC16aamk	0	NaN	0.000	0.000	0	17	nonIa	True	NaN	NaN	NaN	NaN	NaN	0.152	0.113	0.016	0.871	II
44	HSC16aamm	2	0.370	0.000	0.000	1	8	Ia	False	0.638	0.701	0.003	0.296	Ia	0.498	0.612	0.057	0.331	Ia
45	HSC16aamw	0	1.132	-0.013	0.021	2	20	Ia	False	0.968	0.957	0.005	0.039	Ia	0.759	0.766	0.048	0.186	Ia
46	HSC16aaoa	0	1.060	-0.037	0.024	2	20	Ia	True	0.962	0.940	0.001	0.059	Ia	0.914	0.909	0.004	0.087	Ia
47	HSC16aaoc	0	0.829	0.000	0.000	1	24	nonIa	True	0.600	0.397	0.005	0.598	II	0.720	0.409	0.046	0.545	II
48	HSC16aaod	0	2.400	-0.715	0.281	3	9	nonIa	True	0.232	0.118	0.000	0.882	II	0.734	0.724	0.015	0.261	Ia
49	HSC16aaoe	0	0.951	0.000	0.000	1	14	Ia?	False	0.818	0.827	0.027	0.146	Ia	0.655	0.834	0.131	0.035	Ia
50	HSC16aaof	0	0.959	0.000	0.000	1	6	Ia?	False	0.661	0.598	0.027	0.375	Ia	0.778	0.750	0.026	0.224	Ia
51	HSC16aaol	0	0.828	0.000	0.000	1	17	Ia	False	0.398	0.409	0.219	0.372	Ia	0.211	0.246	0.075	0.679	II
52	HSC16aaoo	0	0.361	0.000	0.000	1	8	nonIa	False	0.142	0.081	0.681	0.238	Ibc	0.221	0.180	0.689	0.130	Ibc
53	HSC16aaor	0	0.665	-0.013	0.038	2	9	Ia?	False	0.414	0.764	0.168	0.068	Ia	0.473	0.587	0.217	0.197	Ia
54	HSC16aaow	0	0.598	-0.002	0.003	1	19	nonIa	True	0.217	0.199	0.001	0.800	II	0.108	0.089	0.003	0.908	II
55	HSC16aaoz	0	0.952	-0.017	0.016	1	14	Ia	False	0.700	0.569	0.327	0.103	Ia	0.573	0.690	0.196	0.114	Ia
56	HSC16aapc	0	0.790	-0.036	0.054	3	18	Ia?	False	0.768	0.818	0.017	0.164	Ia	0.844	0.856	0.012	0.133	Ia
57	HSC16aapd	0	0.983	-0.012	0.012	2	16	Ia	False	0.914	0.942	0.000	0.058	Ia	0.953	0.943	0.009	0.048	Ia
58	HSC16aapv	0	0.123	0.000	0.000	1	9	nonIa	True	0.621	0.696	0.005	0.299	Ia	0.904	0.813	0.056	0.131	Ia
59	HSC16aaqc	0	1.250	-0.032	1.199	2	14	nonIa	False	0.096	0.245	0.245	0.509	II	0.064	0.129	0.161	0.710	II
60	HSC16aaqh	0	0.696	-0.041	0.026	2	8	nonIa	False	0.465	0.546	0.026	0.428	Ia	0.624	0.604	0.021	0.375	Ia
61	HSC16aaqn	0	1.234	-0.015	0.013	2	20	Ia	True	0.786	0.897	0.008	0.095	Ia	0.324	0.320	0.430	0.250	Ibc
62	HSC16aaqo	2	0.949	-0.026	0.028	2	6	nonIa	False	0.309	0.310	0.065	0.624	II	0.370	0.373	0.080	0.547	II
63	HSC16aaqu	0	3.097	-1.755	1.050	2	0	UC	NaN	0.150	0.131	0.000	0.869	II	0.133	0.136	0.041	0.823	II
64	HSC16aaqy	0	0.959	0.000	0.000	1	14	nonIa	False	0.788	0.750	0.004	0.246	Ia	0.869	0.785	0.001	0.213	Ia
65	HSC16aarf	0	0.576	0.000	0.000	1	18	nonIa	True	0.004	0.005	0.004	0.991	II	0.018	0.018	0.015	0.967	II
66	HSC16aarn	0	0.169	0.000	0.000	1	12	nonIa	True	0.009	0.007	0.626	0.367	Ibc	0.056	0.022	0.572	0.406	Ibc
67	HSC16aarx	0	NaN	0.000	0.000	0	14	nonIa	False	NaN	NaN	NaN	NaN	NaN	0.690	0.558	0.233	0.209	Ia
68	HSC16aasa	0	0.520	-0.139	0.086	4	7	nonIa	False	0.460	0.382	0.437	0.181	Ibc	0.511	0.506	0.325	0.169	Ia
